fullName,description,url,stars,size,language,pushedAt,forks,openIssues,commitCount,license,topics,watchersCount,hasIssuesEnabled
redisson/redisson,Redisson: Valkey & Redis Java Client and Real-Time Data Platform. Sync/Async/RxJava/Reactive API. Over 50 Valkey and Redis based Java objects and services: Set; Multimap; SortedSet; Map; List; Queue; Deque; Semaphore; Lock; AtomicLong; Map Reduce; Bloom filter; Spring; Tomcat; Scheduler; JCache API; Hibernate; RPC; local cache..,https://github.com/redisson/redisson,24354,35831,Java,Tue Jun 16 07:11:01 CST 2026,5483,248,11616,Apache License 2.0,java|redis|lock|map|queue|executor|redis-client|distributed|distributed-locks|tomcat,860,true
micronaut-projects/micronaut-data,Ahead of Time Data Repositories,https://github.com/micronaut-projects/micronaut-data,480,333954,Java,Tue Jun 16 14:48:58 CST 2026,227,219,3621,Apache License 2.0,data|jdbc|sql|hibernate|jpa|micronaut|relational-databases|java|kotlin|groovy,34,true
micronaut-projects/micronaut-openapi,Generates OpenAPI / Swagger Documentation for Micronaut projects,https://github.com/micronaut-projects/micronaut-openapi,113,97580,Java,Tue Jun 16 14:02:27 CST 2026,120,24,3053,Apache License 2.0,openapi|swagger|micronaut|rest-api,14,true
micronaut-projects/micronaut-kafka,Integration between Micronaut and Apache Kafka,https://github.com/micronaut-projects/micronaut-kafka,95,22819,Java,Tue Jun 16 14:01:54 CST 2026,128,13,1250,Apache License 2.0,micronaut|kafka|microservices|messaging|streams,14,true
camunda-community-hub/micronaut-camunda-platform-7,Integration between Micronaut and Camunda (Workflow Engine). We configure Camunda with sensible defaults; so that you can get started with minimum configuration: simply add a dependency in your Micronaut project to embed the workflow engine!,https://github.com/camunda-community-hub/micronaut-camunda-platform-7,81,1020,Java,Fri Mar 20 01:12:35 CST 2026,35,24,534,Apache License 2.0,micronaut|camunda|bpmn|hacktoberfest|business-process|java|kotlin|dmn|bpm|workflow,12,true
sivaprasadreddy/testcontainers-samples,Sample projects using Testcontainers for Java,https://github.com/sivaprasadreddy/testcontainers-samples,61,1043,Java,Sun Feb 01 22:28:47 CST 2026,15,0,128,Apache License 2.0,java|micronaut|quarkus|spring-boot|testcontainers,2,true
micronaut-projects/micronaut-guides,Guides and Tutorials on how to use Micronaut including sample code ,https://github.com/micronaut-projects/micronaut-guides,51,3155151,Java,Tue Jun 09 11:12:05 CST 2026,47,362,1271,Creative Commons Attribution 4.0 International,groovy|java|kotlin|micronaut|tutorials,15,true
micronaut-projects/micronaut-kubernetes,This project includes integration between Micronaut and Kubernetes,https://github.com/micronaut-projects/micronaut-kubernetes,50,50718,Java,Tue Jun 16 14:06:53 CST 2026,31,27,1178,Apache License 2.0,micronaut|kubernetes,15,true
micronaut-projects/micronaut-micrometer,Integration between Micronaut and Micrometer,https://github.com/micronaut-projects/micronaut-micrometer,42,20724,Java,Tue Jun 16 14:12:48 CST 2026,68,37,1653,Apache License 2.0,micronaut|micrometer|prometheus|metrics,17,true
kokuwaio/micronaut-openapi-codegen,OpenAPI codegen for Micronaut,https://github.com/kokuwaio/micronaut-openapi-codegen,41,1758,Java,Tue Jun 16 06:10:11 CST 2026,17,1,547,Apache License 2.0,micronaut|openapi|codegen|mirrored-repository,5,true
